meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
D13 v2/DS13 v2;Standard_D13_v2;Standard;D13_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;0,7293
DC48s_v3;Standard_DC48s_v3;Standard;DC48s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;FALSE;10;Linux;3,7128
D48 v4;Standard_D48_v4;Standard;D48_v4;standardDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Linux;1,8564
A2 Low Priority;Standard_A2;Standard;A2;standardA0_A7Family;TRUE;V1;x64;FALSE;FALSE;100;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Linux;0,01651
D1 v2/DS1 v2 Low Priority;Standard_D1_v2;Standard;D1_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;100;Windows;0,00962
D1/DS1 Low Priority;Standard_D1;Standard;D1;standardDFamily;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Linux;0,0104
L48as v3;Standard_L48as_v3;Standard;L48as_v3;standardLASv3Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;FALSE;10;Linux;2,8509
M64ds_v2 Low Priority;Standard_M64ds_v2;Standard;M64ds_v2;standardMDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,1973
E2d v4 Low Priority;Standard_E2d_v4;Standard;E2d_v4;standardEDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;TRUE;TRUE;TRUE;FALSE;2;null;1000;Linux;0,022373
DC64as v5;Standard_DC64as_v5;Standard;DC64as_v5;standardDCASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Windows;4,4889
M128s Low Priority;Standard_M128s;Standard;M128s;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;2,3959
NC96ads_A100_v4;Standard_NC96ads_A100_v4;Standard;NC96ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;16,237
D16 v5 Low Priority;Standard_D16_v5;Standard;D16_v5;standardDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,12363
DC32s_v3;Standard_DC32s_v3;Standard;DC32s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;FALSE;10;Linux;2,4752
EC20as_v5 Low Priority;Standard_EC20as_v5;Standard;EC20as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;8;TRUE;100;Windows;0,19136
DC16ads v5 Low Priority;Standard_DC16ads_v5;Standard;DC16ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;4;TRUE;100;Windows;0,49998
D2s v4 Low Priority;Standard_D2s_v4;Standard;D2s_v4;standardDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;3;TRUE;1000;Linux;0,01547
E8ps v5 Low Priority;Standard_E8ps_v5;Standard;E8ps_v5;standardEPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;1000;Linux;0,06188
E32-8as_v4;Standard_E32-8as_v4;Standard;E32-8as_v4;standardEASv4Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;1,547
M128ds_v2 Low Priority;Standard_M128ds_v2;Standard;M128ds_v2;standardMDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;6,4181
E20 v5 Low Priority;Standard_E20_v5;Standard;E20_v5;standardEv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,6409
NC48ads_A100_v4;Standard_NC48ads_A100_v4;Standard;NC48ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;4;TRUE;10;Linux;6,5949
D14 v2/DS14 v2 - Expired;Standard_D14_v2_Promo;Standard;D14_v2_Promo;standardDv2PromoFamily;TRUE;V1;x64;FALSE;FALSE;210;FALSE;FALSE;FALSE;TRUE;FALSE;8;null;10;Windows;1,4573
D32d v5 Low Priority;Standard_D32d_v5;Standard;D32d_v5;standardDDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,29432
E48 v3/E48s v3 Low Priority;Standard_E48_v3;Standard;E48_v3;standardEv3Family;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;1,5379
EC4as_v5;Standard_EC4as_v5;Standard;EC4as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;2;TRUE;100;Linux;0,19136
E112ias v5 Low Priority;Standard_E112ias_v5;Standard;E112ias_v5;standardEIASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;3,5672
E8bs v5 Low Priority;Standard_E8bs_v5;Standard;E8bs_v5;standardEBSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;100;Windows;0,28587
M64ls;Standard_M64ls;Standard;M64ls;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;6,4558
E2bs v5 Low Priority;Standard_E2bs_v5;Standard;E2bs_v5;standardEBSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Windows;0,071825
B8ms;Standard_B8ms;Standard;B8ms;standardBSFamily;TRUE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;TRUE;FALSE;FALSE;4;TRUE;10;Windows;0,2964
D8ps v5;Standard_D8ps_v5;Standard;D8ps_v5;standardDPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;100;Linux;0,24726
E32pds v5;Standard_E32pds_v5;Standard;E32pds_v5;standardEPDSv5Family;TRUE;V2;Arm64;FALSE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;1,443
DC96ads v5 Low Priority;Standard_DC96ads_v5;Standard;DC96ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Windows;3,0004
D32d v4 Low Priority;Standard_D32d_v4;Standard;D32d_v4;standardDDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;null;100;Linux;0,29432
DC96as v5;Standard_DC96as_v5;Standard;DC96as_v5;standardDCASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Linux;3,6829
E20a v4/E20as v4 Low Priority;Standard_E20a_v4;Standard;E20a_v4;standardEAv4Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;null;100;Windows;0,6409
A8 v2 Low Priority;Standard_A8_v2;Standard;A8_v2;standardAv2Family;TRUE;V1;x64;TRUE;FALSE;100;FALSE;FALSE;TRUE;FALSE;FALSE;8;null;10;Windows;0,1651
E64-32as v5;Standard_E64-32as_v5;Standard;E64-32as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;2,7846
NC24ads_A100_v4;Standard_NC24ads_A100_v4;Standard;NC24ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;10;Linux;3,2981
E96s v5;Standard_E96s_v5;Standard;E96s_v5;standardESv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;7,6908
NV12s v2 Low Priority;Standard_NV12s_v2;Standard;NV12s_v2;standardNVSv2Family;FALSE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;FALSE;FALSE;FALSE;8;null;10;Linux;0,2119
D64lds v5;Standard_D64lds_v5;Standard;D64lds_v5;standardDLDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;2,652
D8s v4 Low Priority;Standard_D8s_v4;Standard;D8s_v4;standardDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;1000;Windows;0,225147
B2s;Standard_B2s;Standard;B2s;standardBSFamily;TRUE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;TRUE;FALSE;FALSE;3;TRUE;100;Linux;0,03419
E16 v3/E16s v3;Standard_E16_v3;Standard;E16_v3;standardEv3Family;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;1,2818
D16 v3/D16s v3 Low Priority;Standard_D16_v3;Standard;D16_v3;standardDv3Family;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Linux;0,13
DC2s_v3 Low Priority;Standard_DC2s_v3;Standard;DC2s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;2;FALSE;1000;Linux;0,03094
E48ads v5;Standard_E48ads_v5;Standard;E48ads_v5;standardEADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;2,4531
D4lds v5;Standard_D4lds_v5;Standard;D4lds_v5;standardDLDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;100;Linux;0,16575
D2 v4 Low Priority;Standard_D2_v4;Standard;D2_v4;standardDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;3;null;1000;Windows;0,056355
A1;Standard_A1;Standard;A1;standardA0_A7Family;TRUE;V1;x64;FALSE;FALSE;100;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Linux;0,04147
E2 v4 Low Priority;Standard_E2_v4;Standard;E2_v4;standardEv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;1000;Linux;0,019331
M128s_v2;Standard_M128s_v2;Standard;M128s_v2;standardMSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Linux;11,596
D8 v5 Low Priority;Standard_D8_v5;Standard;D8_v5;standardDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;1000;Linux;0,06188
E64as v5 Low Priority;Standard_E64as_v5;Standard;E64as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;1,92699
F72s v2;Standard_F72s_v2;Standard;F72s_v2;standardFSv2Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;1;Windows;4,914
F8/F8s Low Priority;Standard_F8;Standard;F8;standardFFamily;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;100;Windows;0,23894
NV48s v3;Standard_NV48s_v3;Standard;NV48s_v3;standardNVSv3Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;4,667
M64m;Standard_M64m;Standard;M64m;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;14,014
E4s v5 Low Priority;Standard_E4s_v5;Standard;E4s_v5;standardESv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Linux;0,038675
D2d v4 Low Priority;Standard_D2d_v4;Standard;D2d_v4;standardDDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;TRUE;TRUE;TRUE;TRUE;FALSE;2;null;1000;Linux;0,018369
E2ps v5;Standard_E2ps_v5;Standard;E2ps_v5;standardEPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;2;TRUE;1;Windows;0,143
D12 v2/DS12 v2 - Expired;Standard_D12_v2_Promo;Standard;D12_v2_Promo;standardDv2PromoFamily;TRUE;V1;x64;FALSE;FALSE;210;FALSE;FALSE;FALSE;TRUE;FALSE;4;null;10;Windows;0,364
F48s v2;Standard_F48s_v2;Standard;F48s_v2;standardFSv2Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;1;Windows;3,289
M32ms_v2 Low Priority;Standard_M32ms_v2;Standard;M32ms_v2;standardMSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,0855
M192idms_v2;Standard_M192idms_v2;Standard;M192idms_v2;standardMIDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;34,892
DC8as v5 Low Priority;Standard_DC8as_v5;Standard;DC8as_v5;standardDCASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;FALSE;FALSE;FALSE;4;TRUE;1000;Windows;0,224458
E64 v5 Low Priority;Standard_E64_v5;Standard;E64_v5;standardEv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;2,05127
D16ps v5 Low Priority;Standard_D16ps_v5;Standard;D16ps_v5;standardDPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;100;Linux;0,0988
E64s v5;Standard_E64s_v5;Standard;E64s_v5;standardESv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;5,1272
E64 v4;Standard_E64_v4;Standard;E64_v4;standardEv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Linux;3,094
E96ias v4;Standard_E96ias_v4;Standard;E96ias_v4;standardEIASv4Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;4,641
E8a v4/E8as v4;Standard_E8a_v4;Standard;E8a_v4;standardEAv4Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;4;null;100;Linux;0,38675
E20d v5 Low Priority;Standard_E20d_v5;Standard;E20d_v5;standardEDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,22373
E112iads v5 Low Priority;Standard_E112iads_v5;Standard;E112iads_v5;standardEIADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;3,9429
EC64as_v5;Standard_EC64as_v5;Standard;EC64as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;8;TRUE;10;Windows;5,096
E96-24as v5;Standard_E96-24as_v5;Standard;E96-24as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;7,2267
E16-4ds v4 Low Priority;Standard_E16-4ds_v4;Standard;E16-4ds_v4;standardEDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Windows;0,56147
E96-24as_v4;Standard_E96-24as_v4;Standard;E96-24as_v4;standardEASv4Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;4,641
E2a v4/E2as v4;Standard_E2a_v4;Standard;E2a_v4;standardEAv4Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;2;null;100;Windows;0,16029
D8ads v5 Low Priority;Standard_D8ads_v5;Standard;D8ads_v5;standardDADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;4;TRUE;1000;Windows;0,236197
E20ds v5;Standard_E20ds_v5;Standard;E20ds_v5;standardEDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;1,7537
M32dms_v2 Low Priority;Standard_M32dms_v2;Standard;M32dms_v2;standardMDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,1037
A2 v2 Low Priority;Standard_A2_v2;Standard;A2_v2;standardAv2Family;TRUE;V1;x64;TRUE;FALSE;100;FALSE;FALSE;TRUE;FALSE;FALSE;2;null;100;Windows;0,03731
L32as v3;Standard_L32as_v3;Standard;L32as_v3;standardLASv3Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;FALSE;10;Windows;2,9172
E8s v4;Standard_E8s_v4;Standard;E8s_v4;standardESv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;100;Windows;0,6409
E16-4s v4 Low Priority;Standard_E16-4s_v4;Standard;E16-4s_v4;standardESv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,1547
D4d v5 Low Priority;Standard_D4d_v5;Standard;D4d_v5;standardDDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Linux;0,036751
F4/F4s;Standard_F4;Standard;F4;standardFFamily;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;4;null;10;Linux;0,1716
D4 v2/DS4 v2 - Expired;Standard_D4_v2_Promo;Standard;D4_v2_Promo;standardDv2PromoFamily;TRUE;V1;x64;FALSE;FALSE;210;FALSE;FALSE;FALSE;TRUE;FALSE;8;null;10;Windows;0,6968
D2plds v5;Standard_D2plds_v5;Standard;D2plds_v5;standardDPLDSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;1;Windows;0,117
D2s v5;Standard_D2s_v5;Standard;D2s_v5;standardDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;2;TRUE;100;Windows;0,14092
D16pls v5 Low Priority;Standard_D16pls_v5;Standard;D16pls_v5;standardDPLSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;1;Windows;0,39
DC16ds_v3 Low Priority;Standard_DC16ds_v3;Standard;DC16ds_v3;standardDDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;FALSE;100;Windows;0,79144
E4d v4;Standard_E4d_v4;Standard;E4d_v4;standardEDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;TRUE;TRUE;TRUE;FALSE;2;null;100;Linux;0,22373
A2m v2;Standard_A2m_v2;Standard;A2m_v2;standardAv2Family;TRUE;V1;x64;TRUE;FALSE;100;FALSE;FALSE;TRUE;FALSE;FALSE;2;null;100;Linux;0,10283
D8s v5 Low Priority;Standard_D8s_v5;Standard;D8s_v5;standardDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;1000;Linux;0,06188
D32as v5 Low Priority;Standard_D32as_v5;Standard;D32as_v5;standardDASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;100;Linux;0,22308
E8s v5 Low Priority;Standard_E8s_v5;Standard;E8s_v5;standardESv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;100;Windows;0,07735
D32plds v5;Standard_D32plds_v5;Standard;D32plds_v5;standardDPLDSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,0608
EC16as_v5 Low Priority;Standard_EC16as_v5;Standard;EC16as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;4;TRUE;100;Windows;0,50973
A2;Basic_A2;Basic;A2;basicAFamily;TRUE;V1;x64;FALSE;FALSE;100;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Windows;0,0559
L64s v2 Low Priority;Standard_L64s_v2;Standard;L64s_v2;standardLSv2Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;0,7605
NC12s v3;Standard_NC12s_v3;Standard;NC12s_v3;standardNCSv3Family;FALSE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;5,876
DC24s_v3 Low Priority;Standard_DC24s_v3;Standard;DC24s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;FALSE;100;Windows;1,0478
EC8ads_v5 Low Priority;Standard_EC8ads_v5;Standard;EC8ads_v5;standardECADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;FALSE;FALSE;4;TRUE;100;Windows;0,28184
E104id v5 Low Priority;Standard_E104id_v5;Standard;E104id_v5;standardEIDv5Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;3,8818
D64plds v5;Standard_D64plds_v5;Standard;D64plds_v5;standardDPLDSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;2,1216
E64ads v5;Standard_E64ads_v5;Standard;E64ads_v5;standardEADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;5,304
DC4ads v5;Standard_DC4ads_v5;Standard;DC4ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;2;TRUE;100;Windows;0,31226
D32ads v5;Standard_D32ads_v5;Standard;D32ads_v5;standardDADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;2,3647
DC8ads v5;Standard_DC8ads_v5;Standard;DC8ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;4;TRUE;100;Linux;0,37089
D11 v2/DS11 v2;Standard_D11_v2;Standard;D11_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;10;Linux;0,1274
D2ads v5;Standard_D2ads_v5;Standard;D2ads_v5;standardDADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;100;Linux;0,08424
D13/DS13 Low Priority;Standard_D13;Standard;D13;standardDFamily;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;FALSE;FALSE;FALSE;8;null;10;Windows;0,2912
D4ds v4;Standard_D4ds_v4;Standard;D4ds_v4;standardDDSv4Family;TRUE;V1,V2;x64;TRUE;TRUE;195;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;100;Windows;0,31083
